"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 27 17:27:52 GMT 2022","Sat Aug 27 17:27:52 GMT 2022","6","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","cSVParseTest","cSVParseTest()",""
"passed","Sat Aug 27 17:27:52 GMT 2022","Sat Aug 27 17:27:52 GMT 2022","2","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","tXTParseTest","tXTParseTest()",""
"passed","Sat Aug 27 17:27:24 GMT 2022","Sat Aug 27 17:27:26 GMT 2022","2495","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Female",""
"passed","Sat Aug 27 17:27:39 GMT 2022","Sat Aug 27 17:27:41 GMT 2022","1518","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalTest","Отправляется форма заполненная минимальным количеством данных",""
"passed","Sat Aug 27 17:28:02 GMT 2022","Sat Aug 27 17:28:06 GMT 2022","3296","","testexamples.PracticeFormTests","","testexamples.PracticeFormTests","firstTest","firstTest()",""
"passed","Sat Aug 27 17:27:41 GMT 2022","Sat Aug 27 17:27:44 GMT 2022","3320","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueLambdaTest","repositoryHasIssueLambdaTest()",""
"passed","Sat Aug 27 17:27:33 GMT 2022","Sat Aug 27 17:27:35 GMT 2022","1774","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [Arts]",""
"passed","Sat Aug 27 17:27:37 GMT 2022","Sat Aug 27 17:27:39 GMT 2022","2026","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [English, Maths, Physics]",""
"passed","Sat Aug 27 17:27:29 GMT 2022","Sat Aug 27 17:27:33 GMT 2022","4532","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormTest","Отправляется форма заполеннная случайными данными",""
"passed","Sat Aug 27 17:28:00 GMT 2022","Sat Aug 27 17:28:02 GMT 2022","2086","","testexamples.GithubTest","","testexamples.GithubTest","shouldContainJunitCodeExample","shouldContainJunitCodeExample()",""
"passed","Sat Aug 27 17:27:52 GMT 2022","Sat Aug 27 17:27:52 GMT 2022","613","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","xLSXParseTest","xLSXParseTest()",""
"passed","Sat Aug 27 17:27:49 GMT 2022","Sat Aug 27 17:27:50 GMT 2022","1692","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParseXLSTest","zipParseXLSTest()",""
"passed","Sat Aug 27 17:27:16 GMT 2022","Sat Aug 27 17:27:24 GMT 2022","7498","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Male",""
"passed","Sat Aug 27 17:27:50 GMT 2022","Sat Aug 27 17:27:51 GMT 2022","849","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParsePDFTest","zipParsePDFTest()",""
"passed","Sat Aug 27 17:27:51 GMT 2022","Sat Aug 27 17:27:52 GMT 2022","487","","testexamples.DragAndDropTest","","testexamples.DragAndDropTest","dragAndDropTest","dragAndDropTest()",""
"passed","Sat Aug 27 17:27:44 GMT 2022","Sat Aug 27 17:27:46 GMT 2022","1648","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueWebStepsTest","repositoryHasIssueWebStepsTest()",""
"passed","Sat Aug 27 17:27:48 GMT 2022","Sat Aug 27 17:27:49 GMT 2022","225","","files.JSONTests","","files.JSONTests","jacksonJSONTest","jacksonJSONTest()",""
"passed","Sat Aug 27 17:27:51 GMT 2022","Sat Aug 27 17:27:51 GMT 2022","35","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParseCSVTest","zipParseCSVTest()",""
"passed","Sat Aug 27 17:27:35 GMT 2022","Sat Aug 27 17:27:37 GMT 2022","1949","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [Biology, Chemistry]",""
"passed","Sat Aug 27 17:27:26 GMT 2022","Sat Aug 27 17:27:29 GMT 2022","2141","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Other",""
"passed","Sat Aug 27 17:27:52 GMT 2022","Sat Aug 27 17:28:00 GMT 2022","8028","","testexamples.GithubPricingPageTest","","testexamples.GithubPricingPageTest","shouldOpenPricingPage","shouldOpenPricingPage()",""
"passed","Sat Aug 27 17:27:46 GMT 2022","Sat Aug 27 17:27:48 GMT 2022","2593","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueListenerTest","repositoryHasIssueListenerTest()",""
"passed","Sat Aug 27 17:27:52 GMT 2022","Sat Aug 27 17:27:52 GMT 2022","9","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","pDFParseTest","pDFParseTest()",""
