"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 11:32:16 GMT 2022","Sat Sep 24 11:32:42 GMT 2022","26215","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueListenerTest","repositoryHasIssueListenerTest()",""
"passed","Sat Sep 24 11:32:49 GMT 2022","Sat Sep 24 11:32:49 GMT 2022","2","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","tXTParseTest","tXTParseTest()",""
"passed","Sat Sep 24 11:32:49 GMT 2022","Sat Sep 24 11:32:49 GMT 2022","10","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","pDFParseTest","pDFParseTest()",""
"skipped","Sat Sep 24 11:31:00 GMT 2022","Sat Sep 24 11:31:00 GMT 2022","0","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormTest","Отправляется форма заполеннная случайными данными",""
"passed","Sat Sep 24 11:32:49 GMT 2022","Sat Sep 24 11:32:49 GMT 2022","1","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","cSVParseTest","cSVParseTest()",""
"failed","Sat Sep 24 11:33:20 GMT 2022","Sat Sep 24 11:33:41 GMT 2022","21626","","testexamples.PracticeFormTests","","testexamples.PracticeFormTests","firstTest","firstTest()",""
"failed","Sat Sep 24 11:32:50 GMT 2022","Sat Sep 24 11:33:12 GMT 2022","22252","","testexamples.GithubPricingPageTest","","testexamples.GithubPricingPageTest","shouldOpenPricingPage","shouldOpenPricingPage()",""
"passed","Sat Sep 24 11:32:42 GMT 2022","Sat Sep 24 11:32:44 GMT 2022","1795","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParseXLSTest","zipParseXLSTest()",""
"skipped","Sat Sep 24 11:31:00 GMT 2022","Sat Sep 24 11:31:00 GMT 2022","0","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[])",""
"passed","Sat Sep 24 11:32:42 GMT 2022","Sat Sep 24 11:32:42 GMT 2022","229","","files.JSONTests","","files.JSONTests","jacksonJSONTest","jacksonJSONTest()",""
"passed","Sat Sep 24 11:31:23 GMT 2022","Sat Sep 24 11:31:51 GMT 2022","27826","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueLambdaTest","repositoryHasIssueLambdaTest()",""
"passed","Sat Sep 24 11:31:00 GMT 2022","Sat Sep 24 11:31:23 GMT 2022","22387","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalTest","Отправляется форма заполненная минимальным количеством данных",""
"passed","Sat Sep 24 11:33:12 GMT 2022","Sat Sep 24 11:33:20 GMT 2022","7970","","testexamples.GithubTest","","testexamples.GithubTest","shouldContainJunitCodeExample","shouldContainJunitCodeExample()",""
"passed","Sat Sep 24 11:32:45 GMT 2022","Sat Sep 24 11:32:49 GMT 2022","4075","","testexamples.DragAndDropTest","","testexamples.DragAndDropTest","dragAndDropTest","dragAndDropTest()",""
"passed","Sat Sep 24 11:32:45 GMT 2022","Sat Sep 24 11:32:45 GMT 2022","62","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParseCSVTest","zipParseCSVTest()",""
"skipped","Sat Sep 24 11:31:00 GMT 2022","Sat Sep 24 11:31:00 GMT 2022","1","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String)",""
"passed","Sat Sep 24 11:32:44 GMT 2022","Sat Sep 24 11:32:45 GMT 2022","730","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParsePDFTest","zipParsePDFTest()",""
"passed","Sat Sep 24 11:32:49 GMT 2022","Sat Sep 24 11:32:50 GMT 2022","475","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","xLSXParseTest","xLSXParseTest()",""
"passed","Sat Sep 24 11:31:51 GMT 2022","Sat Sep 24 11:32:16 GMT 2022","25389","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueWebStepsTest","repositoryHasIssueWebStepsTest()",""
