"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 04:40:39 GMT 2022","Mon Sep 05 04:41:11 GMT 2022","31452","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueLambdaTest","repositoryHasIssueLambdaTest()",""
"passed","Mon Sep 05 04:42:18 GMT 2022","Mon Sep 05 04:42:18 GMT 2022","14","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","pDFParseTest","pDFParseTest()",""
"skipped","Mon Sep 05 04:40:17 GMT 2022","Mon Sep 05 04:40:17 GMT 2022","1","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String)",""
"passed","Mon Sep 05 04:42:43 GMT 2022","Mon Sep 05 04:42:51 GMT 2022","8291","","testexamples.GithubTest","","testexamples.GithubTest","shouldContainJunitCodeExample","shouldContainJunitCodeExample()",""
"failed","Mon Sep 05 04:42:51 GMT 2022","Mon Sep 05 04:43:12 GMT 2022","20971","","testexamples.PracticeFormTests","","testexamples.PracticeFormTests","firstTest","firstTest()",""
"passed","Mon Sep 05 04:42:13 GMT 2022","Mon Sep 05 04:42:13 GMT 2022","791","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParsePDFTest","zipParsePDFTest()",""
"passed","Mon Sep 05 04:42:13 GMT 2022","Mon Sep 05 04:42:13 GMT 2022","67","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParseCSVTest","zipParseCSVTest()",""
"passed","Mon Sep 05 04:42:18 GMT 2022","Mon Sep 05 04:42:18 GMT 2022","499","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","xLSXParseTest","xLSXParseTest()",""
"skipped","Mon Sep 05 04:40:18 GMT 2022","Mon Sep 05 04:40:18 GMT 2022","0","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[])",""
"passed","Mon Sep 05 04:42:10 GMT 2022","Mon Sep 05 04:42:13 GMT 2022","2277","","files.ZIPFileParseTests","","files.ZIPFileParseTests","zipParseXLSTest","zipParseXLSTest()",""
"passed","Mon Sep 05 04:42:13 GMT 2022","Mon Sep 05 04:42:18 GMT 2022","4170","","testexamples.DragAndDropTest","","testexamples.DragAndDropTest","dragAndDropTest","dragAndDropTest()",""
"passed","Mon Sep 05 04:42:18 GMT 2022","Mon Sep 05 04:42:18 GMT 2022","1","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","tXTParseTest","tXTParseTest()",""
"passed","Mon Sep 05 04:42:18 GMT 2022","Mon Sep 05 04:42:43 GMT 2022","24351","","testexamples.GithubPricingPageTest","","testexamples.GithubPricingPageTest","shouldOpenPricingPage","shouldOpenPricingPage()",""
"passed","Mon Sep 05 04:42:18 GMT 2022","Mon Sep 05 04:42:18 GMT 2022","1","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","cSVParseTest","cSVParseTest()",""
"passed","Mon Sep 05 04:41:11 GMT 2022","Mon Sep 05 04:41:40 GMT 2022","29449","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueWebStepsTest","repositoryHasIssueWebStepsTest()",""
"skipped","Mon Sep 05 04:40:18 GMT 2022","Mon Sep 05 04:40:18 GMT 2022","0","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormTest","Отправляется форма заполеннная случайными данными",""
"passed","Mon Sep 05 04:41:40 GMT 2022","Mon Sep 05 04:42:10 GMT 2022","29795","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueListenerTest","repositoryHasIssueListenerTest()",""
"passed","Mon Sep 05 04:40:18 GMT 2022","Mon Sep 05 04:40:39 GMT 2022","21245","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalTest","Отправляется форма заполненная минимальным количеством данных",""
"passed","Mon Sep 05 04:42:10 GMT 2022","Mon Sep 05 04:42:10 GMT 2022","271","","files.JSONTests","","files.JSONTests","jacksonJSONTest","jacksonJSONTest()",""
