"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 26 06:45:43 GMT 2022","Fri Aug 26 06:45:46 GMT 2022","2752","","testexamples.GithubTest","","testexamples.GithubTest","shouldContainJunitCodeExample","shouldContainJunitCodeExample()",""
"passed","Fri Aug 26 06:44:47 GMT 2022","Fri Aug 26 06:44:56 GMT 2022","9009","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Male",""
"passed","Fri Aug 26 06:45:29 GMT 2022","Fri Aug 26 06:45:33 GMT 2022","3884","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueListenerTest","repositoryHasIssueListenerTest()",""
"passed","Fri Aug 26 06:45:00 GMT 2022","Fri Aug 26 06:45:02 GMT 2022","2372","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Other",""
"passed","Fri Aug 26 06:45:09 GMT 2022","Fri Aug 26 06:45:11 GMT 2022","2517","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [Arts]",""
"passed","Fri Aug 26 06:45:24 GMT 2022","Fri Aug 26 06:45:29 GMT 2022","4556","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueWebStepsTest","repositoryHasIssueWebStepsTest()",""
"passed","Fri Aug 26 06:45:46 GMT 2022","Fri Aug 26 06:45:51 GMT 2022","5180","","testexamples.PracticeFormTests","","testexamples.PracticeFormTests","firstTest","firstTest()",""
"passed","Fri Aug 26 06:45:34 GMT 2022","Fri Aug 26 06:45:43 GMT 2022","9757","","testexamples.GithubPricingPageTest","","testexamples.GithubPricingPageTest","shouldOpenPricingPage","shouldOpenPricingPage()",""
"passed","Fri Aug 26 06:45:17 GMT 2022","Fri Aug 26 06:45:19 GMT 2022","2094","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalTest","Отправляется форма заполненная минимальным количеством данных",""
"passed","Fri Aug 26 06:45:14 GMT 2022","Fri Aug 26 06:45:17 GMT 2022","2923","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [English, Maths, Physics]",""
"passed","Fri Aug 26 06:44:57 GMT 2022","Fri Aug 26 06:45:00 GMT 2022","2947","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Female",""
"passed","Fri Aug 26 06:45:33 GMT 2022","Fri Aug 26 06:45:34 GMT 2022","1170","","testexamples.DragAndDropTest","","testexamples.DragAndDropTest","dragAndDropTest","dragAndDropTest()",""
"passed","Fri Aug 26 06:45:11 GMT 2022","Fri Aug 26 06:45:14 GMT 2022","2534","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [Biology, Chemistry]",""
"passed","Fri Aug 26 06:45:19 GMT 2022","Fri Aug 26 06:45:24 GMT 2022","4981","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueLambdaTest","repositoryHasIssueLambdaTest()",""
"passed","Fri Aug 26 06:45:02 GMT 2022","Fri Aug 26 06:45:09 GMT 2022","6291","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormTest","Отправляется форма заполеннная случайными данными",""
