"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 26 06:15:59 GMT 2022","Fri Aug 26 06:16:04 GMT 2022","4831","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormTest","Отправляется форма заполеннная случайными данными",""
"passed","Fri Aug 26 06:16:33 GMT 2022","Fri Aug 26 06:16:37 GMT 2022","4044","","testexamples.PracticeFormTests","","testexamples.PracticeFormTests","firstTest","firstTest()",""
"passed","Fri Aug 26 06:16:31 GMT 2022","Fri Aug 26 06:16:33 GMT 2022","1818","","testexamples.GithubTest","","testexamples.GithubTest","shouldContainJunitCodeExample","shouldContainJunitCodeExample()",""
"passed","Fri Aug 26 06:16:20 GMT 2022","Fri Aug 26 06:16:21 GMT 2022","447","","testexamples.DragAndDropTest","","testexamples.DragAndDropTest","dragAndDropTest","dragAndDropTest()",""
"passed","Fri Aug 26 06:15:56 GMT 2022","Fri Aug 26 06:15:57 GMT 2022","1950","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Female",""
"passed","Fri Aug 26 06:15:58 GMT 2022","Fri Aug 26 06:15:59 GMT 2022","1800","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Other",""
"passed","Fri Aug 26 06:16:04 GMT 2022","Fri Aug 26 06:16:06 GMT 2022","1657","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [Arts]",""
"passed","Fri Aug 26 06:16:11 GMT 2022","Fri Aug 26 06:16:13 GMT 2022","1607","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalTest","Отправляется форма заполненная минимальным количеством данных",""
"passed","Fri Aug 26 06:16:13 GMT 2022","Fri Aug 26 06:16:17 GMT 2022","3969","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueLambdaTest","repositoryHasIssueLambdaTest()",""
"passed","Fri Aug 26 06:16:08 GMT 2022","Fri Aug 26 06:16:11 GMT 2022","2652","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [English, Maths, Physics]",""
"failed","Fri Aug 26 06:16:21 GMT 2022","Fri Aug 26 06:16:31 GMT 2022","10616","","testexamples.GithubPricingPageTest","","testexamples.GithubPricingPageTest","shouldOpenPricingPage","shouldOpenPricingPage()",""
"passed","Fri Aug 26 06:15:48 GMT 2022","Fri Aug 26 06:15:55 GMT 2022","6868","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Male",""
"passed","Fri Aug 26 06:16:06 GMT 2022","Fri Aug 26 06:16:08 GMT 2022","2225","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [Biology, Chemistry]",""
"passed","Fri Aug 26 06:16:17 GMT 2022","Fri Aug 26 06:16:18 GMT 2022","1779","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueWebStepsTest","repositoryHasIssueWebStepsTest()",""
"passed","Fri Aug 26 06:16:18 GMT 2022","Fri Aug 26 06:16:20 GMT 2022","1897","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueListenerTest","repositoryHasIssueListenerTest()",""
